程や 0.0010
程や计 0
[C40, S2, A16], や计1 や:0.0015
[C40, S2, A17], や计0 や:0.0000
[C40, S2, A18], や计2 や:0.0031
[C40, S2, A19], や计2 や:0.0031
[C40, S2, A20], や计0 や:0.0000
[C40, S2, A21], や计2 や:0.0031
[C40, S2, A22], や计1 や:0.0015
[C40, S2, A23], や计2 や:0.0031
[C40, S2, A24], や计0 や:0.0000
[C40, S2, A25], や计0 や:0.0000
[C43, S1, A02], や计0 や:0.0000
[C43, S1, A03], や计0 や:0.0000
[C43, S1, A04], や计0 や:0.0000
[C43, S1, A05], や计0 や:0.0000
[C43, S1, A06], や计0 や:0.0000
[C43, S1, A07], や计0 や:0.0000
[C43, S1, A08], や计0 や:0.0000
[C43, S1, A09], や计0 や:0.0000
[C43, S1, A10], や计0 や:0.0000
[C43, S1, A11], や计0 や:0.0000
[C43, S1, A12], や计0 や:0.0000
[C43, S1, A13], や计0 や:0.0000
[C43, S1, A14], や计2 や:0.0031
[C43, S1, A15], や计2 や:0.0031
[C43, S1, A16], や计1 や:0.0015
[C43, S1, A17], や计2 や:0.0031
[C43, S1, A18], や计0 や:0.0000
[C43, S1, A19], や计1 や:0.0015
[C43, S1, A20], や计2 や:0.0031
[C43, S1, A21], や计2 や:0.0031
[C43, S1, A22], や计3 や:0.0046
[C43, S1, A23], や计1 や:0.0015
[C43, S1, A24], や计0 や:0.0000
[C43, S1, A25], や计0 や:0.0000
[C43, S2, A02], や计0 や:0.0000
[C43, S2, A03], や计0 や:0.0000
[C43, S2, A04], や计0 や:0.0000
[C43, S2, A05], や计0 や:0.0000
[C43, S2, A06], や计0 や:0.0000
[C43, S2, A07], や计0 や:0.0000
[C43, S2, A08], や计0 や:0.0000
[C43, S2, A09], や计0 や:0.0000
[C43, S2, A10], や计0 や:0.0000
[C43, S2, A11], や计0 や:0.0000
[C43, S2, A12], や计1 や:0.0015
[C43, S2, A13], や计0 や:0.0000
[C43, S2, A14], や计0 や:0.0000
[C43, S2, A15], や计1 や:0.0015
[C43, S2, A16], や计1 や:0.0015
[C43, S2, A17], や计1 や:0.0015
[C43, S2, A18], や计4 や:0.0061
[C43, S2, A19], や计2 や:0.0031
[C43, S2, A20], や计4 や:0.0061
[C43, S2, A21], や计4 や:0.0061
[C43, S2, A22], や计2 や:0.0031
[C43, S2, A23], や计1 や:0.0015
[C43, S2, A24], や计0 や:0.0000
[C43, S2, A25], や计0 や:0.0000
[C44, S1, A02], や计0 や:0.0000
[C44, S1, A03], や计0 や:0.0000
[C44, S1, A04], や计0 や:0.0000
[C44, S1, A05], や计0 や:0.0000
[C44, S1, A06], や计0 や:0.0000
[C44, S1, A07], や计0 や:0.0000
[C44, S1, A08], や计0 や:0.0000
[C44, S1, A09], や计0 や:0.0000
[C44, S1, A10], や计0 や:0.0000
[C44, S1, A11], や计0 や:0.0000
[C44, S1, A12], や计0 や:0.0000
[C44, S1, A13], や计0 や:0.0000
[C44, S1, A14], や计0 や:0.0000
[C44, S1, A15], や计1 や:0.0015
[C44, S1, A16], や计0 や:0.0000
[C44, S1, A17], や计0 や:0.0000
[C44, S1, A18], や计0 や:0.0000
[C44, S1, A19], や计0 や:0.0000
[C44, S1, A20], や计0 や:0.0000
[C44, S1, A21], や计0 や:0.0000
[C44, S1, A22], や计0 や:0.0000
[C44, S1, A23], や计0 や:0.0000
[C44, S1, A24], や计0 や:0.0000
[C44, S1, A25], や计0 や:0.0000
[C44, S2, A02], や计0 や:0.0000
[C44, S2, A03], や计0 や:0.0000
[C44, S2, A04], や计0 や:0.0000
[C44, S2, A05], や计0 や:0.0000
[C44, S2, A06], や计0 や:0.0000
[C44, S2, A07], や计0 や:0.0000
[C44, S2, A08], や计0 や:0.0000
[C44, S2, A09], や计0 や:0.0000
[C44, S2, A10], や计0 や:0.0000
[C44, S2, A11], や计0 や:0.0000
[C44, S2, A12], や计0 や:0.0000
[C44, S2, A13], や计0 や:0.0000
[C44, S2, A14], や计0 や:0.0000
[C44, S2, A15], や计0 や:0.0000
[C44, S2, A16], や计0 や:0.0000
[C44, S2, A17], や计0 や:0.0000
[C44, S2, A18], や计0 や:0.0000
[C44, S2, A19], や计1 や:0.0015
[C44, S2, A20], や计0 や:0.0000
[C44, S2, A21], や计0 や:0.0000
[C44, S2, A22], や计1 や:0.0015
[C44, S2, A23], や计0 や:0.0000
[C44, S2, A24], や计0 や:0.0000
[C44, S2, A25], や计0 や:0.0000
[C45, S1, A02], や计0 や:0.0000
[C45, S1, A03], や计0 や:0.0000
[C45, S1, A04], や计0 や:0.0000
[C45, S1, A05], や计0 や:0.0000
[C45, S1, A06], や计0 や:0.0000
[C45, S1, A07], や计0 や:0.0000
[C45, S1, A08], や计0 や:0.0000
[C45, S1, A09], や计0 や:0.0000
[C45, S1, A10], や计0 や:0.0000
[C45, S1, A11], や计0 や:0.0000
[C45, S1, A12], や计0 や:0.0000
[C45, S1, A13], や计0 や:0.0000
[C45, S1, A14], や计0 や:0.0000
[C45, S1, A15], や计1 や:0.0015
[C45, S1, A16], や计1 や:0.0015
[C45, S1, A17], や计1 や:0.0015
[C45, S1, A18], や计2 や:0.0031
[C45, S1, A19], や计1 や:0.0015
[C45, S1, A20], や计0 や:0.0000
[C45, S1, A21], や计1 や:0.0015
[C45, S1, A22], や计2 や:0.0031
[C45, S1, A23], や计0 や:0.0000
[C45, S1, A24], や计1 や:0.0015
[C45, S1, A25], や计0 や:0.0000
[C45, S2, A02], や计0 や:0.0000
[C45, S2, A03], や计0 や:0.0000
[C45, S2, A04], や计0 や:0.0000
[C45, S2, A05], や计0 や:0.0000
[C45, S2, A06], や计0 や:0.0000
[C45, S2, A07], や计0 や:0.0000
[C45, S2, A08], や计0 や:0.0000
[C45, S2, A09], や计0 や:0.0000
[C45, S2, A10], や计0 や:0.0000
[C45, S2, A11], や计1 や:0.0015
[C45, S2, A12], や计0 や:0.0000
[C45, S2, A13], や计0 や:0.0000
[C45, S2, A14], や计0 や:0.0000
[C45, S2, A15], や计0 や:0.0000
[C45, S2, A16], や计2 や:0.0031
[C45, S2, A17], や计0 や:0.0000
[C45, S2, A18], や计1 や:0.0015
[C45, S2, A19], や计0 や:0.0000
[C45, S2, A20], や计1 や:0.0015
[C45, S2, A21], や计2 や:0.0031
[C45, S2, A22], や计2 や:0.0031
[C45, S2, A23], や计2 や:0.0031
[C45, S2, A24], や计0 や:0.0000
[C45, S2, A25], や计0 や:0.0000
[C46, S1, A02], や计0 や:0.0000
[C46, S1, A03], や计0 や:0.0000
[C46, S1, A04], や计0 や:0.0000
[C46, S1, A05], や计0 や:0.0000
[C46, S1, A06], や计0 や:0.0000
[C46, S1, A07], や计0 や:0.0000
[C46, S1, A08], や计0 や:0.0000
[C46, S1, A09], や计0 や:0.0000
[C46, S1, A10], や计0 や:0.0000
[C46, S1, A11], や计0 や:0.0000
[C46, S1, A12], や计0 や:0.0000
[C46, S1, A13], や计0 や:0.0000
[C46, S1, A14], や计0 や:0.0000
[C46, S1, A15], や计1 や:0.0015
[C46, S1, A16], や计0 や:0.0000
[C46, S1, A17], や计0 や:0.0000
[C46, S1, A18], や计1 や:0.0015
[C46, S1, A19], や计2 や:0.0031
[C46, S1, A20], や计2 や:0.0031
[C46, S1, A21], や计1 や:0.0015
[C46, S1, A22], や计1 や:0.0015
[C46, S1, A23], や计0 や:0.0000
[C46, S1, A24], や计0 や:0.0000
[C46, S1, A25], や计0 や:0.0000
[C46, S2, A02], や计0 や:0.0000
[C46, S2, A03], や计0 や:0.0000
[C46, S2, A04], や计0 や:0.0000
[C46, S2, A05], や计0 や:0.0000
[C46, S2, A06], や计0 や:0.0000
[C46, S2, A07], や计0 や:0.0000
[C46, S2, A08], や计0 や:0.0000
[C46, S2, A09], や计0 や:0.0000
[C46, S2, A10], や计0 や:0.0000
[C46, S2, A11], や计1 や:0.0015
[C46, S2, A12], や计0 や:0.0000
[C46, S2, A13], や计0 や:0.0000
[C46, S2, A14], や计0 や:0.0000
[C46, S2, A15], や计0 や:0.0000
[C46, S2, A16], や计0 や:0.0000
[C46, S2, A17], や计0 や:0.0000
[C46, S2, A18], や计0 や:0.0000
[C46, S2, A19], や计0 や:0.0000
[C46, S2, A20], や计0 や:0.0000
[C46, S2, A21], や计0 や:0.0000
[C46, S2, A22], や计0 や:0.0000
[C46, S2, A23], や计0 や:0.0000
[C46, S2, A24], や计0 や:0.0000
[C46, S2, A25], や计0 や:0.0000
[C90, S1, A02], や计0 や:0.0000
[C90, S1, A03], や计0 や:0.0000
[C90, S1, A04], や计0 や:0.0000
[C90, S1, A05], や计0 や:0.0000
[C90, S1, A06], や计0 や:0.0000
[C90, S1, A07], や计0 や:0.0000
[C90, S1, A08], や计0 や:0.0000
[C90, S1, A09], や计0 や:0.0000
[C90, S1, A10], や计0 や:0.0000
[C90, S1, A11], や计0 や:0.0000
[C90, S1, A12], や计0 や:0.0000
[C90, S1, A13], や计0 や:0.0000
[C90, S1, A14], や计0 や:0.0000
[C90, S1, A15], や计1 や:0.0015
[C90, S1, A16], や计0 や:0.0000
[C90, S1, A17], や计0 や:0.0000
[C90, S1, A18], や计1 や:0.0015
[C90, S1, A19], や计0 や:0.0000
[C90, S1, A20], や计0 や:0.0000
[C90, S1, A21], や计0 や:0.0000
[C90, S1, A22], や计0 や:0.0000
[C90, S1, A23], や计0 や:0.0000
[C90, S1, A24], や计0 や:0.0000
[C90, S1, A25], や计0 や:0.0000
[C90, S2, A02], や计0 や:0.0000
[C90, S2, A03], や计0 や:0.0000
[C90, S2, A04], や计0 や:0.0000
[C90, S2, A05], や计0 や:0.0000
[C90, S2, A06], や计0 や:0.0000
[C90, S2, A07], や计0 や:0.0000
[C90, S2, A08], や计0 や:0.0000
[C90, S2, A09], や计0 や:0.0000
[C90, S2, A10], や计0 や:0.0000
[C90, S2, A11], や计0 や:0.0000
[C90, S2, A12], や计0 や:0.0000
[C90, S2, A13], や计0 や:0.0000
[C90, S2, A14], や计0 や:0.0000
[C90, S2, A15], や计0 や:0.0000
[C90, S2, A16], や计0 や:0.0000
[C90, S2, A17], や计0 や:0.0000
[C90, S2, A18], や计0 や:0.0000
[C90, S2, A19], や计0 や:0.0000
[C90, S2, A20], や计0 や:0.0000
[C90, S2, A21], や计0 や:0.0000
[C90, S2, A22], や计0 や:0.0000
[C90, S2, A23], や计0 や:0.0000
[C90, S2, A24], や计0 や:0.0000
[C90, S2, A25], や计0 や:0.0000
